client_id,city,postcode,state,comments,external_id,active
82,,,,,,1
84,,,,,,0
85,,,,,,0
86,,,,,,0
87,Spotswood,3015,Victoria,,,1
88,,,,,,0
89,,,,,,1
90,,,,,,0
91,,,,,,1
92,,,,,,0
93,,,,,,1
94,,,,,,0
96,,,,,,0
97,,,,,,0
98,,,,,,0
99,,,,,,0
100,,,,,,0
101,,,,,,0
102,,,,,,0
103,,,,,,0
104,,,,,,0
105,,,,,,0
106,,,,,,0
107,,,,,,1
108,,,,,,1
110,,,,,,0
111,,,,,,0
112,,,,,,0
113,,,,,,0
114,,,,,,0
115,,,,,,0
116,,,,,,0
118,,,,,,0
121,,,,,,0
122,,,,,,0
124,,,,,,0
126,,,,,,0
127,,,,,,0
128,,,,,Dawson Mine 1020N,1
129,,,,,,0
130,Haberfield,2045,NSW,,Callide Mine 997N,1
132,,,,,,0
133,,,,,,0
135,,,,,,0
138,,,,,,0
139,,,,,,0
140,,,,,,0
141,,,,,,1
142,,,,,,0
143,,,,,,0
144,,,,,,1
145,,,,,,0
146,,,,,,0
147,,,,,,0
148,,,,,,0
149,,,,,,0
150,,,,,,0
151,,,,,,0
152,,,,,,0
153,,,,,,0
154,,,,,,0
155,,,,,,0
156,,,,,,0
157,,,,,,0
158,,,,,,1
159,,,,,,0
160,Alexandria,2015,NSW,,,0
161,,,,,,0
162,,,,,,0
163,,,,,,0
165,,,,,,0
167,,,,,,0
168,,,,,,0
169,,,,,,0
170,,,,,testExId,1
171,,,,,2811,1
172,,,,,,0
173,,,,,,0
174,Sydney,,Nsw,,,1
175,,,,,,1
176,,,,,,0
177,,,,,,0
178,,,,,,1
179,Sydney,2000,NSW,,,0
180,,,,,,0
181,,,,,,0
182,Smithfield,,,,,0
183,,,,,,0
184,,,,,,1
185,,,,,,0
186,,,,,,0
187,,,,,,0
188,,,,,,0
189,,,,,1,1
190,,,,,,1
191,,,,,,0
192,,,,,,0
193,,,,,,0
194,SYDNEY NSW 2000,,,,94,0
195,,,,,,0
196,,,,,,0
197,Bondi Junction,2022,NSW,,,0
198,Crows Nest,2065,NSW,,,0
199,Melbourne,3000,VIC,,,0
200,,,,,,0
201,,,,,,0
202,,,,,,0
203,Healesville,3777,VIC,,,0
204,,,,,,1
205,,,,,,0
206,,,,,,0
207,,,,,,0
208,,,,,,0
209,,,,,,0
210,,,,,,0
211,,,,,,0
212,,,,,,0
213,,,,,,0
214,,,,,,0
215,,,,,,0
216,,,,,,0
217,,,,,,0
218,,,,,Cadia Mine 1009N,1
219,,,,,,0
220,,,,,,0
221,,,,,,0
222,,,,,LEN01,0
223,,,,,BMD04,1
224,,,,,,0
225,,,,,,0
226,,,,,,0
227,,,,,UGL,0
228,,,,,,0
229,,,,,,0
230,,,,,,0
231,,,,,,0
232,,,,,,0
233,,,,,,0
234,,,,,,0
235,,,,,,0
236,,,,,,0
237,,,,,,0
238,,,,,,1
239,,,,,,0
240,,,,,,0
241,,,,,,1
242,,,,,,0
243,,,,,,1
244,,,,,,1
245,,,,,dcjnfbevnuqeowuirb,1
246,,,,,,1
247,Redfern,2016,NSW,hello,987654 - 120,1
248,Crows Nest,2065,NSW,,123456,1
249,Sydney,2000,NSW,,,1
250,,,,,,1
251,Crows Nest,2065,NSW,Referred by ABC,,1
252,,,,,,1
253,,,,,19000012345,1
255,,,,,112233,1
256,,,,,,1
257,,,,,,1
258,,,,,,1
259,,,,,,1
260,,,,,,1
262,,,,,098765,1
263,,,,,,1
264,,,,,,0
265,,,,,,1
266,,,,,,1
267,,,,,,1
268,,,,,,1
269,,,,,,1
270,,,,,,1
271,,,,,,1
272,,,,,,1
273,,,,,,1
274,,,,,,1
275,,,,,,1
276,,,,,,1
277,,,,,,1
278,,,,,,1
279,,,,,,1
280,,,,,,1
281,,,,,,1
282,,,,,,1
283,,,,,,1
284,Ashburton,3147,VIC,,987,1
285,,,,,,1
286,,,,,,1
287,,,,,,1
288,,,,,,1
289,,,,,,1
290,,,,,,1
291,,,,,,1
292,,,,,,1
293,,,,,,1
294,,,,,,1
295,,,,,,1
296,,,,,,1
297,,,,,,1
298,,,,,,1
299,,,,,,1
300,,,,,,1
301,,,,,,1
302,,,,,,1
303,,,,,,1
304,,,,,,1
305,,,,,sugar,1
306,,,,,salt,1
307,,,,,,1
308,,,,,,1
309,,,,,,1
310,,,,,,1
311,,,,,,1
312,,,,,,1
313,,,,,111,1
314,,,,,,1
315,,,,,,1
316,,,,,,1
317,,,,,,1
318,,,,,,1
319,,,,,,1
320,,,,,,1
321,,,,,,1
322,,,,,,1
323,,,,,,1
324,,,,,,1
325,,,,,,1
326,,,,,,1
327,,,,,,1
328,,,,,,1
329,,,,,,1
330,,,,,685904561,1
331,,,,,89224609,1
332,,,,,59724589,1
333,,,,,686635097,1
334,,,,,263055573,1
335,,,,,,1
336,,,,,,1
337,,,,,,1
338,,,,,,1
339,,,,,,1
351,,,,Used for QA Automation,,1
355,,,,,,1
356,,,,,,1
372,,,,,,1
386,,,,,,1
389,,,,,,1
390,,,,,,1
394,,,,,,1
396,,,,,,1
407,,,,,,1
410,,,,,,1
411,,,,,,1
413,Chipping Norton,2170,NSW,,,1
415,,,,,,1
416,,,,,,1
419,,,,,,1
423,,,,,,1
424,,,,,,1
427,,,,,,1
431,,,,,,1
434,,,,,,1
435,,,,,,0
436,,,,,,1
439,,,,,,1
440,,,,,,1
