user_id,ut_id,suburb,state,postcode,employment_type,active,modified_time,comments,app_version,device_os,device_os_version,app_timezone,last_logged_in
38,3,,,,1,1,2017-09-18 01:59:51,,,,,,2021-05-02 23:24:12
39,2,North Sydney,NSW,2060,1,1,2019-03-06 04:24:38,,4.3.0,,,,2021-04-14 01:00:11
40,1,St Leonards[Null],"",,1,1,2015-12-17 23:27:23,"",,,,,2020-10-26 23:09:32
93,2,Riverview,New South Wales,,1,1,2021-01-13 04:22:48,"",5.31.3,web,Netscape 5.0 (iPhone; CPU iPho,420,2021-02-02 20:19:28
432,2,Crows Nest,New South Wales,2065,3,1,2020-05-18 23:22:12,"",5.36.1,web,Netscape 5.0 (iPhone; CPU iPho,-600,2021-04-15 00:21:56
433,3,Riverview,New South Wales,"",1,1,2021-03-22 23:00:23,"",,,,,2021-03-23 17:55:09
434,2,homebush,New South Wales,2096,3,1,2020-09-23 00:54:53,"",5.23.2,web,Netscape 5.0 (iPhone; CPU iPho,-660,2020-10-11 22:09:16
435,2,Homebush,New South Wales,,1,0,2016-05-31 04:53:16,"",,,,,
436,2,Penrith,New South Wales,,1,0,2016-05-31 04:53:20,"",,,,,
437,2,wa,Western Australia,"",3,0,2016-03-30 00:42:27,"",,,,,
438,2,wa,Western Australia,"",1,0,2016-03-30 00:42:23,"",,,,,
439,2,North Wollongong,New South Wales,,1,0,2016-05-31 04:51:28,"",,,,,
440,2,North Wollongong,New South Wales,,1,0,2017-06-09 01:29:41,"",,,,,
441,2,North Wollongong,New South Wales,"",1,1,2017-05-19 03:47:43,"",,,,,
442,2,North Wollongong,New South Wales,"",1,0,2016-05-31 04:51:25,"",,,,,
443,2,North Wollongong,New South Wales,,1,0,2016-05-31 04:53:00,"",,,,,
444,2,North Wollongong,New South Wales,,1,0,2016-05-31 04:51:19,"",,,,,
446,2,Revesby,New South Wales,,1,0,2014-10-16 22:49:40,"",,,,,
447,2,Mornington,"","",3,0,2016-05-31 04:52:30,"",,,,,
448,2,Richmond,"","",3,0,2016-05-31 04:52:16,"",,,,,
449,3,"","",,1,0,2016-03-30 00:40:29,"",,,,,
450,3,"",New South Wales,"",1,0,2017-09-09 23:51:45,"",,,,,
451,3,"",New South Wales,"",1,0,2016-08-25 05:17:04,"",,,,,
452,2,Hurstville,New South Wales,"",1,1,2017-05-19 03:47:55,Has own tools,,,,,
453,2,Sydney,New South Wales,"",1,0,2016-08-25 05:19:29,"",,,,,
454,3,"","",,1,0,2015-06-20 09:19:08,"",,,,,
455,2,Canterbury,Victoria,,1,0,2016-03-30 00:42:34,"",,,,,
456,3,"","",,1,0,2015-06-20 09:19:03,"",,,,,
457,2,"","",,1,0,2016-03-30 00:42:57,"",,,,,
458,2,"","",,1,0,2016-10-25 02:18:38,"",,,,,
